aX,aY,aZ,gX,gY,gZ
0.868,0.575,0.524,12.268,30.762,-15.198
0.818,0.612,0.387,0.793,12.390,-20.325
0.860,0.733,0.442,-23.499,-4.700,-42.786
0.758,0.277,0.402,-47.241,16.907,-30.884
0.779,0.097,0.455,-20.813,-0.366,-15.747
0.788,0.179,0.487,-5.188,-3.845,-24.292
0.845,0.500,0.581,-12.024,-8.911,-47.241
0.857,0.505,0.468,-12.268,1.892,-64.636
0.943,0.730,0.517,-12.878,5.859,-94.116
0.782,0.703,0.336,-0.549,-19.897,-161.804
0.684,0.213,0.417,-19.043,-51.819,-199.707
0.586,-0.302,0.453,-20.325,-52.124,-205.444
0.571,-0.726,0.666,-11.292,-58.716,-164.490
0.541,-0.967,0.954,-19.104,-41.565,-107.056
0.573,-1.340,1.044,-19.775,-5.554,-39.734
0.562,-1.674,1.112,-7.690,33.020,72.021
0.377,-1.288,1.103,4.883,70.557,206.909
0.271,-0.768,0.918,33.997,107.849,287.109
0.113,-0.538,0.726,48.462,123.779,344.910
-0.097,-0.006,0.678,57.312,136.902,421.631
-0.227,1.417,0.466,8.240,177.368,462.707
-0.316,2.104,-0.642,-92.773,215.088,437.012
-0.337,2.561,-0.806,39.612,148.193,287.231
-0.088,2.092,-0.332,74.646,16.724,-22.949
-0.074,1.722,-0.340,47.668,-3.418,-76.538
0.036,2.118,-0.205,-22.766,-44.922,-161.194
0.079,1.888,-0.164,-29.663,-105.286,-252.075
0.070,1.330,0.023,-12.024,-171.387,-348.083
0.129,0.911,0.200,-1.404,-197.510,-382.385
0.012,0.380,0.392,-13.428,-220.276,-397.461
0.126,-0.208,0.853,-91.858,-214.783,-411.011
0.212,-0.176,1.270,-65.613,-118.774,-376.709
0.127,-1.235,1.119,-86.304,-33.081,-213.806
0.182,-1.065,1.241,-80.811,26.245,-68.359
0.438,-1.202,1.201,-57.251,45.959,-36.682
0.495,-1.432,1.175,-29.114,63.416,12.634
0.512,-1.012,0.993,6.592,-15.320,47.913
0.387,-0.913,1.114,2.686,47.852,108.704
0.527,-0.697,1.012,15.381,105.469,122.925
0.355,-0.550,0.970,31.494,138.123,150.818
0.351,-0.408,0.791,30.334,155.457,203.369
0.514,0.100,0.312,-11.230,109.314,265.503
0.234,0.574,0.430,54.016,92.651,331.665
0.179,0.782,0.102,37.476,162.109,375.427
0.108,1.349,-0.001,15.869,127.747,376.038
0.049,1.542,-0.179,-20.630,111.267,247.559
0.079,2.299,-0.680,1.770,137.512,175.903
0.199,2.110,-0.608,7.141,17.334,36.621
0.185,1.707,-0.546,50.781,-7.385,-76.782
0.187,1.750,-0.388,27.283,-51.697,-141.785
0.176,1.526,-0.124,-16.479,-81.360,-202.576
0.113,1.258,0.021,21.973,-115.479,-266.724
0.131,0.836,0.120,22.888,-145.996,-321.716
0.076,0.255,0.265,20.569,-175.842,-340.759
0.180,0.110,0.478,-25.269,-194.885,-325.073
0.179,-0.393,0.978,-102.295,-164.124,-265.503
0.419,-0.766,1.618,-49.805,-43.152,-224.060
