aX,aY,aZ,gX,gY,gZ
0.765,0.069,0.658,0.000,0.305,-0.122
0.761,0.071,0.657,-0.305,0.671,-0.610
0.757,0.064,0.656,0.305,0.244,-0.793
0.757,0.061,0.651,-0.366,0.793,-0.549
0.760,0.062,0.650,0.244,0.305,-0.305
0.759,0.061,0.651,-0.183,-0.061,-0.427
0.756,0.060,0.652,0.000,-0.305,0.000
0.760,0.064,0.658,0.122,-0.244,0.244
0.759,0.065,0.667,0.183,-0.305,0.244
0.759,0.065,0.660,0.366,0.122,0.244
0.761,0.069,0.658,0.000,0.977,0.549
0.764,0.071,0.646,0.000,0.916,0.305
0.759,0.062,0.645,0.427,-0.427,-0.488
0.759,0.062,0.658,0.061,0.061,-0.061
0.759,0.063,0.660,-0.122,-0.061,0.183
0.759,0.061,0.656,0.244,0.183,0.000
0.758,0.059,0.650,0.305,-0.183,0.793
0.764,0.073,0.655,0.305,-0.305,0.549
0.765,0.071,0.658,0.000,0.061,-0.549

0.757,0.067,0.662,-0.061,-0.122,-0.244
0.758,0.062,0.661,0.000,0.183,0.061
0.761,0.068,0.662,0.122,0.488,0.244
0.759,0.064,0.656,0.244,0.549,-0.244
0.758,0.061,0.651,0.000,0.427,-0.305
0.757,0.062,0.655,-0.122,0.244,0.183
0.757,0.060,0.656,0.061,0.244,0.244
0.756,0.060,0.654,0.366,-0.122,0.488
0.760,0.068,0.661,0.122,0.122,0.732
0.761,0.070,0.658,0.000,0.122,0.610
0.761,0.070,0.658,0.183,0.061,0.244
0.765,0.073,0.657,0.061,0.732,0.000
0.757,0.057,0.645,0.122,0.122,-0.610
0.754,0.057,0.654,0.000,-0.488,0.183
0.759,0.065,0.660,0.000,-0.305,0.793
0.758,0.064,0.657,0.061,0.183,0.488
0.754,0.058,0.659,0.854,-0.305,0.427
0.762,0.070,0.655,0.244,-0.305,1.648
0.767,0.077,0.660,0.610,-0.305,0.671
0.764,0.075,0.663,0.366,0.366,-0.488
0.760,0.074,0.659,-0.244,0.671,0.122
0.762,0.072,0.657,-0.061,0.427,-0.610
0.760,0.067,0.655,0.122,0.854,-0.610
0.756,0.059,0.656,-0.122,0.793,-0.793
0.754,0.056,0.649,0.061,0.183,0.183
0.760,0.065,0.653,0.305,-0.122,0.610
0.761,0.069,0.660,0.305,0.061,-0.122
0.762,0.070,0.661,0.000,0.671,0.305
0.767,0.075,0.659,0.244,0.610,-0.488
0.761,0.069,0.650,0.122,0.732,-0.671
0.760,0.065,0.646,-0.366,0.488,-0.488
0.756,0.058,0.651,-0.122,-0.122,-0.671
0.759,0.062,0.659,0.244,-0.122,0.000
0.756,0.062,0.658,0.000,0.061,-0.122
0.760,0.064,0.659,0.000,0.061,0.732
0.763,0.068,0.658,0.427,0.061,0.610
0.762,0.069,0.654,0.122,0.305,0.000
0.763,0.071,0.656,0.244,0.122,0.122
0.765,0.074,0.657,-0.122,0.244,-0.244
0.760,0.064,0.655,0.183,0.061,-1.038
0.757,0.061,0.654,0.061,0.366,-0.549
0.758,0.058,0.655,-0.061,0.305,0.000
0.762,0.064,0.654,-0.061,0.305,0.244
0.762,0.066,0.652,0.244,-0.061,0.183
