aX,aY,aZ,gX,gY,gZ
0.515,0.008,-0.252,74.707,-208.679,35.095
0.381,-0.038,-0.105,72.266,-262.573,45.654
0.287,0.043,0.196,56.519,-311.035,74.768
0.258,0.105,0.669,95.581,-275.452,74.219
0.400,0.099,1.020,79.346,-319.092,81.665
0.441,0.098,1.564,107.178,-294.067,34.485
1.038,0.308,1.979,68.054,-210.632,61.340
0.672,0.418,1.442,93.323,-105.591,28.625
0.559,0.263,1.140,41.138,-64.392,-5.798
0.577,0.235,1.116,5.615,-50.171,-18.860
0.480,0.214,1.167,40.588,30.640,-29.236
0.609,0.106,1.100,23.987,33.752,-15.320
0.633,0.150,1.128,10.132,7.629,1.648
0.520,0.149,0.981,1.587,2.930,-12.329
0.457,0.088,0.912,-3.601,17.212,-28.564
0.543,0.058,0.984,-1.160,23.132,-8.850
0.570,0.087,1.013,5.920,39.368,-4.089
0.492,0.063,0.864,-6.470,19.470,-8.789
0.481,0.047,0.815,-6.470,6.897,-5.066
0.517,0.034,0.827,6.714,5.554,-6.653
0.543,0.070,0.865,7.141,18.982,-4.150
0.472,0.033,0.795,10.742,19.104,-6.714
0.509,0.036,0.789,21.790,34.241,-5.798
0.593,0.045,0.836,16.846,21.790,-7.324
0.590,0.064,0.842,7.263,12.390,-2.930
0.553,0.054,0.818,0.244,9.216,-3.906
0.581,0.011,0.827,11.597,22.156,0.549
0.604,0.002,0.821,10.010,23.376,0.244
0.596,-0.010,0.801,4.211,13.428,3.113
0.617,0.032,0.814,1.526,2.869,2.808
0.636,0.028,0.838,3.967,9.888,3.540
0.593,0.001,0.777,2.869,8.606,0.366
0.573,0.005,0.769,1.465,0.305,1.892
0.621,0.018,0.805,4.700,-7.874,-1.465
0.620,0.029,0.808,3.601,-4.028,-2.136
0.602,0.011,0.799,0.793,0.427,1.526
0.611,0.015,0.819,-0.427,0.244,3.479
0.621,0.008,0.825,0.061,-2.625,1.587
0.613,0.011,0.813,-0.061,1.038,2.502
0.608,-0.005,0.802,2.747,3.906,1.160
0.607,0.006,0.802,0.916,0.732,3.601
0.609,0.026,0.805,-1.160,-3.784,6.531

0.326,0.094,0.758,73.303,-45.959,-73.914
0.557,-0.058,0.783,68.542,-59.692,-91.919
0.659,-0.041,0.868,36.255,-31.311,-61.768
0.482,-0.040,0.801,19.470,-15.930,-23.560
0.516,-0.021,0.873,14.465,-45.654,-34.729
0.528,-0.004,0.989,-5.798,-30.334,-32.471
0.438,-0.069,0.889,-17.700,-14.954,-32.471
0.474,-0.075,0.892,-16.541,-2.930,-26.733
0.469,-0.027,0.896,-0.549,-23.621,-29.907
0.438,-0.058,0.872,-4.272,-32.715,-22.827
0.434,-0.071,0.872,-16.724,-36.804,-26.978
0.521,-0.117,0.988,-13.367,-43.274,-32.410
0.573,-0.071,1.204,-28.809,-38.269,-15.808
0.620,0.048,1.486,-38.513,-23.193,13.245
0.606,0.108,1.531,-47.791,6.409,9.399
0.501,-0.004,1.458,-46.753,33.630,9.216
0.514,-0.027,1.525,-18.677,64.453,10.376
0.552,0.039,1.633,-26.123,138.428,11.841
0.464,0.047,1.349,-58.289,183.960,-3.174
0.456,0.033,1.056,-49.683,202.881,-0.305
0.577,0.143,1.062,-67.200,254.700,17.578
0.516,0.185,0.826,-61.218,317.566,4.028
0.570,0.094,0.499,-68.359,269.470,-10.986
0.399,0.057,0.227,-82.031,226.807,-3.113
0.312,-0.004,-0.150,-52.368,176.697,-5.493
0.291,-0.043,-0.578,-11.780,108.459,-3.235
0.277,0.138,-0.742,24.292,48.706,-1.770
0.241,0.099,-0.710,31.921,-8.728,3.418
0.235,0.054,-0.590,32.898,-61.401,10.559
0.171,0.057,-0.491,38.574,-195.007,-9.460
0.171,0.181,-0.078,46.082,-306.030,-24.841
0.177,0.234,0.372,32.227,-360.840,-14.404
0.213,0.022,0.811,17.944,-328.979,-5.615
0.265,-0.151,0.980,3.357,-283.325,15.320
0.138,0.082,0.963,58.594,-231.201,3.235
0.109,-0.043,1.138,61.890,-263.794,-4.150
0.318,-0.160,1.643,51.453,-232.910,-36.011
0.318,-0.004,1.653,40.222,-165.649,22.583
0.120,0.064,1.453,20.020,-96.436,12.573
0.041,-0.004,1.512,-3.906,-99.670,-1.648
0.065,-0.059,1.835,7.446,-91.125,8.240
0.359,0.102,2.315,-15.076,-30.640,44.067
0.162,0.297,2.141,-37.354,54.260,37.048
0.125,0.248,1.985,-39.917,109.680,-2.319
0.284,0.144,2.158,-60.059,195.984,6.958
0.115,0.136,1.862,-60.669,267.151,-18.372
0.052,0.004,1.292,-38.940,275.024,-48.462
0.114,-0.055,1.124,-64.453,317.078,-31.372
0.340,0.002,1.078,-81.238,358.826,-21.790
0.214,0.141,0.640,-75.928,312.012,-9.766
0.312,0.132,0.257,-72.388,256.165,-3.296
