aX,aY,aZ,gX,gY,gZ
0.809,0.113,0.551,-0.977,-2.686,0.122
0.824,0.109,0.556,-0.549,-2.502,-1.404
0.829,0.098,0.572,-1.160,-3.906,-3.784
0.830,0.098,0.578,-4.211,-4.028,-1.404
0.834,0.103,0.558,-2.380,0.549,0.793
0.854,0.100,0.549,-1.892,1.099,0.793
0.856,0.098,0.539,-2.563,-2.625,0.610
0.840,0.105,0.553,-2.563,-2.563,2.136
0.829,0.110,0.557,-0.488,-1.648,3.601
0.815,0.119,0.566,0.427,-0.793,2.441
0.817,0.114,0.555,-0.549,-2.014,0.305
0.835,0.106,0.559,-2.197,-4.578,-0.061
0.828,0.113,0.557,-1.099,-3.601,1.648
0.811,0.116,0.567,0.732,-0.488,1.404
0.816,0.112,0.573,-0.244,-0.916,0.427
0.837,0.100,0.562,0.305,-0.366,0.061
0.854,0.088,0.562,0.183,-1.709,0.183
0.834,0.106,0.582,-1.160,-3.296,3.113
0.816,0.118,0.573,-0.977,1.160,5.005
0.817,0.118,0.570,-2.136,0.427,3.845
0.825,0.110,0.575,-1.343,-2.991,1.587
0.834,0.109,0.570,-1.709,-0.854,2.563
0.813,0.125,0.566,-2.747,0.671,5.310
0.804,0.137,0.567,-2.747,0.916,4.883
0.805,0.137,0.548,-0.671,2.808,4.211

0.819,0.125,0.593,10.132,-6.531,-2.869
0.810,0.135,0.591,9.705,-5.737,-1.892
0.803,0.159,0.597,9.338,-3.235,-1.587
0.805,0.198,0.604,8.423,-3.601,-3.235
0.830,0.205,0.600,10.864,-9.827,-6.897
0.855,0.246,0.635,16.907,-16.113,-7.812
0.937,0.339,0.709,27.283,-24.841,-8.423
1.042,0.401,0.766,33.264,-39.795,0.793
1.028,0.489,0.783,41.199,-48.828,11.902
0.868,0.615,0.796,48.584,-58.472,16.296
0.633,0.670,0.811,43.823,-85.388,-7.324
0.557,0.615,0.928,15.259,-112.732,-27.344
0.466,0.525,0.859,24.536,-70.923,-26.794
0.415,0.391,0.765,54.138,-41.016,-41.321
0.408,0.289,0.868,48.096,-60.120,-62.439
0.398,0.143,0.805,15.930,-77.148,-93.201
0.364,-0.065,0.708,54.321,-28.381,-112.427
0.286,-0.340,0.701,43.762,-27.344,-120.605
0.166,-0.596,0.492,7.690,-36.377,-140.686
0.147,-0.986,0.430,38.269,-29.480,-166.565
0.298,-1.280,0.584,26.855,-54.810,-183.044
0.487,-1.272,0.617,8.423,-50.171,-158.691
0.595,-0.958,0.618,23.987,-12.268,-102.112
0.371,-0.675,0.625,28.320,28.015,-26.550
0.117,-0.538,0.814,16.541,-26.611,-18.921
-0.022,-0.457,0.904,11.047,-38.269,-20.081
0.081,-0.462,0.892,14.648,-5.066,-15.198
0.248,-0.505,0.797,9.949,-4.822,-14.526
0.161,-0.497,0.876,17.151,-6.042,-4.944
0.185,-0.514,0.896,13.916,3.723,-8.362
0.295,-0.553,0.869,3.723,-2.136,-2.930
0.217,-0.526,0.918,-2.686,-15.564,-1.160
0.194,-0.503,0.892,-0.732,-3.479,-0.488
0.255,-0.530,0.859,0.854,-0.366,-0.427
0.241,-0.531,0.861,-4.028,-3.601,2.014
0.212,-0.493,0.837,-6.104,-1.343,4.639
0.178,-0.497,0.861,-2.319,-0.793,3.479
0.179,-0.510,0.872,0.183,4.272,3.235
0.231,-0.522,0.868,-2.258,6.653,5.920
0.278,-0.542,0.873,-5.005,0.488,9.949
0.302,-0.586,0.894,-4.639,0.793,13.489
0.294,-0.579,0.888,-3.967,14.038,28.320
0.232,-0.541,0.837,-3.845,24.353,38.574
0.224,-0.529,0.801,-3.845,16.846,33.569
0.266,-0.560,0.757,-4.944,14.709,35.706
0.254,-0.511,0.749,-8.240,17.883,52.124
0.211,-0.537,0.750,-6.470,16.235,50.720
0.262,-0.592,0.743,-10.864,1.221,32.043
0.355,-0.502,0.764,-6.775,10.376,44.434
0.311,-0.493,0.717,-3.967,35.034,67.932
0.291,-0.523,0.696,-16.907,30.212,50.049
0.409,-0.356,0.725,-20.142,27.527,40.527
0.418,-0.386,0.671,-18.494,36.743,47.852
0.431,-0.383,0.665,-25.513,29.114,37.354
0.579,-0.234,0.763,-16.724,30.273,31.189
0.509,-0.251,0.743,-25.146,45.105,40.894
0.506,-0.226,0.716,-25.757,48.950,39.001
0.681,-0.061,0.655,1.953,40.955,55.664
0.651,-0.084,0.645,8.911,34.790,67.505
0.662,-0.041,0.747,-4.272,39.734,39.612
0.748,0.010,0.754,-8.362,49.133,49.683
0.693,-0.018,0.776,-21.301,44.800,47.485
0.711,0.037,0.784,-19.165,45.532,43.823
0.754,-0.002,0.728,-13.855,54.810,47.119
0.789,-0.014,0.721,-19.653,47.974,46.753
0.780,0.075,0.661,-16.479,60.730,59.204
0.737,0.093,0.628,-13.245,67.993,53.650
0.775,0.106,0.605,-21.545,55.969,46.143
0.784,0.214,0.595,-27.222,48.279,50.903
0.825,0.325,0.552,-16.785,64.514,49.133
0.969,0.456,0.612,2.380,57.983,32.471
1.083,0.481,0.751,21.790,11.780,12.024
1.074,0.253,0.744,20.813,-27.710,-1.221
0.941,0.010,0.623,6.348,-33.325,4.883
0.836,-0.020,0.529,2.625,-8.606,16.357
0.787,-0.026,0.527,5.371,6.531,10.437
0.758,0.013,0.591,9.033,-3.784,0.793
0.778,0.050,0.646,10.315,-12.878,-5.371
0.789,0.054,0.651,8.362,-3.113,-3.967
0.781,0.046,0.628,3.479,5.554,-0.977
0.814,0.027,0.563,-8.484,0.916,-5.554
0.856,0.026,0.539,-9.033,-1.648,-8.545
0.879,0.048,0.592,-10.376,-5.737,-7.568
0.866,0.062,0.612,-9.827,-2.380,-1.465
0.873,0.074,0.589,-10.986,0.305,0.244
0.844,0.077,0.576,-10.986,-1.282,2.747
0.807,0.083,0.561,-12.695,0.854,5.005
0.783,0.094,0.555,-10.986,4.700,3.601
0.791,0.115,0.557,-8.911,4.395,0.793
0.804,0.120,0.548,-6.409,1.343,-2.319
0.820,0.109,0.563,-8.850,-1.770,-5.432
0.830,0.100,0.560,-8.484,2.136,-3.906
0.840,0.101,0.534,-8.423,3.357,-4.028
0.835,0.098,0.531,-4.395,1.770,-4.028
0.829,0.102,0.546,-3.418,0.671,-4.211
0.825,0.096,0.553,-4.883,0.549,-4.822
0.830,0.091,0.571,-3.601,0.183,-4.517
0.843,0.092,0.574,-5.554,0.122,-5.737
0.841,0.090,0.572,-6.226,-1.221,-5.920
0.834,0.091,0.577,-7.507,-1.953,-5.005
0.841,0.091,0.556,-7.568,0.000,-4.639
0.852,0.094,0.535,-5.554,0.977,-2.563
0.832,0.100,0.548,-3.723,0.244,-0.854
0.822,0.096,0.565,-3.113,0.916,-1.648
0.818,0.090,0.561,-3.296,0.244,-2.014
0.822,0.082,0.572,-3.967,0.000,-3.113
0.829,0.085,0.568,-5.615,-0.854,-2.991
0.841,0.089,0.565,-5.737,-0.366,-3.784
0.847,0.090,0.562,-5.981,-0.488,-3.723
0.849,0.092,0.563,-6.287,-0.610,-2.747
0.843,0.097,0.565,-5.859,1.709,-0.366
0.840,0.099,0.550,-5.615,1.160,-0.610
0.851,0.092,0.539,-4.395,-1.831,-2.441
0.854,0.090,0.548,-3.540,-0.549,-0.244
0.833,0.101,0.553,-3.479,0.244,0.793
0.829,0.105,0.554,-3.357,-1.160,-0.854
0.829,0.101,0.549,-1.892,-0.916,0.244
0.823,0.097,0.553,-0.977,-0.427,-1.587
0.835,0.098,0.567,-0.854,-1.831,-2.563
0.831,0.099,0.566,-1.770,-0.366,-1.343
0.837,0.092,0.561,-3.235,-1.465,-1.709
0.832,0.101,0.554,-3.784,-2.258,-1.648
0.828,0.105,0.550,-2.319,-1.160,-1.282
0.830,0.098,0.556,-1.282,-0.549,-1.953
0.832,0.096,0.569,-1.709,-2.441,-2.319

0.828,0.099,0.566,-0.427,-0.305,-0.183
0.826,0.105,0.569,-0.305,-0.305,0.427
0.837,0.098,0.571,-0.488,-0.732,-0.610
0.829,0.103,0.568,-0.793,-0.122,1.038
0.825,0.105,0.562,-0.732,-0.122,0.244
0.833,0.104,0.565,-0.549,-0.610,0.427
0.833,0.107,0.557,-0.427,0.122,1.160
0.827,0.107,0.565,0.061,-0.122,0.732
0.828,0.106,0.566,0.122,-0.793,0.610
0.828,0.104,0.566,0.366,-0.244,0.488
0.828,0.104,0.569,0.122,-0.488,0.488
0.821,0.111,0.570,-0.122,-0.061,0.610
0.806,0.116,0.566,0.610,0.549,-0.427
0.821,0.108,0.572,0.244,-0.488,-1.160
0.823,0.117,0.564,0.244,1.099,-1.099
0.833,0.106,0.559,0.427,0.610,-1.648
0.826,0.106,0.559,1.099,0.549,-1.160
0.817,0.115,0.561,1.587,1.404,-1.404
0.811,0.121,0.571,1.892,0.977,-2.502
0.823,0.127,0.561,2.319,0.610,-3.906
0.833,0.123,0.561,2.930,-2.197,-6.104
0.839,0.135,0.565,4.761,-3.845,-6.165
0.876,0.188,0.604,10.010,-0.916,-5.432
0.931,0.249,0.643,11.841,-6.836,-5.798
0.984,0.331,0.692,19.348,-15.015,-0.549
0.929,0.404,0.732,28.992,-15.381,11.414
0.871,0.466,0.759,34.668,-19.287,10.437
0.828,0.481,0.726,22.522,-52.185,-11.414
0.895,0.389,0.768,30.823,-76.965,-26.062
0.824,0.365,0.801,39.063,-60.608,-7.446
0.734,0.325,0.749,48.340,-36.926,-10.010
0.718,0.240,0.706,46.570,-52.429,-35.400
0.729,0.129,0.697,34.790,-69.458,-44.495
0.556,0.114,0.666,36.499,-49.866,-31.311
0.476,0.009,0.612,52.124,-22.400,-47.241
0.588,-0.206,0.637,45.776,-31.250,-58.044
0.600,-0.293,0.645,2.747,-52.612,-50.598
